Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104811_P009_WE11	3592338	1535986	42.8	326	286	284	236	147	89	0	47	65	0	0	284	0	172215
FMN_104811_P009_WF02	2069014	826817	40.0	318	246	243	184	103	47	0	19	53	0	0	243	0	128178
FMN_104811_P009_WF03	3758192	1623646	43.2	337	289	288	248	145	89	0	49	70	0	0	288	0	176928
FMN_104811_P009_WF05	2643180	1054987	39.9	311	228	225	154	79	41	0	19	40	0	0	225	0	111957
FMN_104811_P009_WF06	3694588	1501474	40.6	333	261	259	202	115	63	1	28	51	0	0	259	0	145440
FMN_104811_P009_WF07	4132272	1662409	40.2	321	258	255	188	97	49	0	18	48	0	0	255	0	128844
FMN_104811_P009_WF08	140406	58533	41.7	270	183	182	122	52	22	0	1	11	0	0	182	0	82749
FMN_104811_P009_WF09	2190372	841125	38.4	309	227	224	155	67	34	0	11	32	0	0	224	0	105045
FMN_104811_P009_WF10	6235598	2602493	41.7	349	284	282	212	115	60	0	23	53	0	0	282	0	141909
FMN_104811_P009_WF11	3296940	1296930	39.3	309	227	225	161	74	32	0	6	41	0	0	225	0	107358
FMN_104811_P009_WF12	3912470	1663405	42.5	328	268	265	214	125	72	0	33	70	0	0	265	0	153138
FMN_104811_P009_WG01	2649914	1062196	40.1	318	263	262	203	119	59	0	27	58	0	0	262	0	140985
FMN_104811_P009_WG02	1531828	608315	39.7	318	257	256	221	149	97	0	49	65	0	0	256	0	171855
FMN_104811_P009_WG03	3125382	1307281	41.8	329	266	265	220	137	77	0	38	70	0	0	265	0	159231
FMN_104811_P009_WG04	2930106	1254955	42.8	324	276	272	214	143	86	1	8	13	0	0	272	0	164931
FMN_104811_P009_WG05	324862	137731	42.4	262	182	179	143	79	37	0	15	26	0	0	179	0	103416
FMN_104811_P009_WG06	2483814	977218	39.3	311	243	242	176	94	47	0	12	39	0	0	242	0	123225
FMN_104811_P009_WG07	2876530	1263209	43.9	324	275	271	230	150	95	1	40	62	0	0	271	0	173265
FMN_104811_P009_WG09	1224948	487769	39.8	311	256	255	217	133	86	1	42	59	0	0	255	0	160632
FMN_104811_P009_WG10	1123674	426441	38.0	310	237	236	184	96	55	0	20	44	0	0	236	0	128502
FMN_104811_P009_WG11	515786	190617	37.0	293	209	208	150	76	36	0	8	31	0	0	208	0	106416
FMN_104811_P009_WH11	1023828	383598	37.5	299	223	220	205	158	110	1	8	10	0	0	220	0	172446
