Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104811_P006_WH03	466928	190597	40.8	308	241	239	239	233	210	97	32	38	0	0	239	0	355658
FMN_104811_P006_WH05	2306376	890654	38.6	348	270	269	269	266	259	178	98	115	0	0	269	0	494665
FMN_104811_P006_WH06	2200698	903739	41.1	340	265	264	262	260	251	171	87	100	0	0	264	0	471481
FMN_104811_P006_WH08	2747222	963042	35.1	345	262	261	261	255	240	132	73	97	0	0	261	0	417463
FMN_104811_P007_WB09	2549256	1050153	41.2	320	290	288	287	273	249	135	2	2	0	0	288	0	434908
FMN_104811_P007_WE03	591526	252292	42.7	308	247	244	242	232	213	119	7	10	0	0	244	0	369728
FMN_104811_P007_WH07	1637526	681264	41.6	330	264	261	260	244	223	96	9	13	0	0	261	0	354103
FMN_104811_P007_WH08	2311804	966510	41.8	324	265	262	259	236	208	72	6	10	0	0	262	0	323565
FMN_104811_P009_WA01	2639558	1104232	41.8	339	273	272	269	249	230	117	67	90	0	0	272	0	390092
FMN_104811_P009_WA02	536508	218185	40.7	307	231	230	230	210	181	54	34	53	0	0	230	0	282835
FMN_104811_P009_WA03	4774518	2056773	43.1	337	287	286	282	267	241	123	64	85	0	0	286	0	402889
FMN_104811_P009_WA04	743566	301504	40.5	309	245	243	238	215	184	57	43	71	0	0	243	0	292779
FMN_104811_P009_WA05	119790	44973	37.5	264	160	159	139	93	59	2	0	9	0	0	159	0	123245
FMN_104811_P009_WA06	1452144	572837	39.4	316	240	238	224	180	123	14	8	19	0	0	238	0	211567
FMN_104811_P009_WA07	1935090	796908	41.2	318	264	261	257	221	168	45	17	31	0	0	261	0	273983
FMN_104811_P009_WA08	1036994	433711	41.8	308	255	252	250	224	195	64	5	9	0	0	252	0	309893
FMN_104811_P009_WA10	1698880	680549	40.1	312	249	248	235	196	145	23	24	63	0	0	248	0	239687
FMN_104811_P009_WA11	5808606	2474763	42.6	346	289	288	284	266	241	103	53	77	0	0	288	0	380079
FMN_104811_P009_WB01	3615770	1539073	42.6	330	275	272	266	236	199	61	43	67	0	0	272	0	312737
FMN_104811_P009_WB04	188208	68423	36.4	275	176	172	155	117	74	3	0	6	0	0	172	0	142485
FMN_104811_P009_WB05	1695958	693557	40.9	313	255	254	247	211	180	42	27	49	0	0	254	0	281145
FMN_104811_P009_WB07	2167344	874889	40.4	315	256	253	244	205	167	39	4	12	0	0	253	0	264128
FMN_104811_P009_WB08	1953680	803162	41.1	310	264	261	248	203	153	28	3	10	0	0	261	0	250036
FMN_104811_P009_WB09	3247654	1379501	42.5	329	276	275	270	247	207	59	10	20	0	0	275	0	321773
FMN_104811_P009_WB10	2391518	983940	41.1	323	266	264	255	206	159	32	5	13	0	0	264	0	256592
FMN_104811_P009_WC04	4417858	1839224	41.6	327	280	277	274	250	209	78	8	18	0	0	277	0	337198
FMN_104811_P009_WC05	1239356	492810	39.8	293	229	228	216	165	111	11	2	8	0	0	228	0	197846
FMN_104811_P009_WC06	3027314	1269810	41.9	320	279	276	271	249	221	98	11	17	0	0	276	0	361698
FMN_104811_P009_WC08	2686894	1091533	40.6	320	271	269	263	230	191	62	40	57	0	0	269	0	307381
FMN_104811_P009_WC09	1443842	582791	40.4	312	250	248	241	205	157	32	26	44	0	0	248	0	259027
FMN_104811_P009_WC11	3227834	1387064	43.0	334	280	278	277	268	246	147	59	79	0	0	278	0	441735
FMN_104811_P009_WC12	2477770	1050164	42.4	327	278	277	273	251	224	89	43	67	0	0	277	0	362335
FMN_104811_P009_WD02	1312964	531659	40.5	302	240	237	223	182	134	22	2	15	0	0	237	0	225274
FMN_104811_P009_WD03	1343146	551763	41.1	301	246	243	231	188	133	15	3	8	0	0	243	0	221828
FMN_104811_P009_WD04	2370000	986268	41.6	321	265	262	247	209	156	28	2	13	0	0	262	0	252130
FMN_104811_P009_WD05	1022868	411297	40.2	297	230	229	219	178	126	19	19	38	0	0	229	0	218341
